product_name,brand,category,price,rating,review_title,review_text,clean_text,review_date,verified_purchase,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_label,extracted_topics,n_topics
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,2,Too many issues,"Not comfortable for people with smaller faces, they're too wide.",comfortable people smaller faces theyre wide,2024-03-11,True,-0.4023,0.0,0.231,negative,佩戴舒适,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Very happy with these,Love capturing POV moments without pulling out my phone. The LED recording light gives people fair notice when I'm filming.,love capturing pov moments without pulling phone led recording light gives people fair notice filming,2024-12-28,False,0.7579,0.265,0.0,positive,相机质量|AI语音|用户隐私,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Very happy with these,"Response time is quick, usually answers within 2-3 seconds. Call quality is excellent, people can't even tell I'm on glasses.",response time quick usually answers within seconds call quality excellent people cant even tell glasses,2025-03-05,True,0.5719,0.163,0.0,positive,音频质量|App体验,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Game changer for daily life,Nobody at work even realized they were smart glasses until I told them.,nobody work even realized smart glasses told,2025-07-20,True,0.4019,0.197,0.0,positive,,0
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,"The weight distribution is excellent, no pressure points on my nose or ears.",weight distribution excellent pressure points nose ears,2024-11-14,True,0.0772,0.204,0.243,positive,佩戴舒适,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,Connects to my phone instantly every time I put them on. Appreciate the granular privacy controls in the app.,connects phone instantly every time put appreciate granular privacy controls app,2025-09-12,True,0.4019,0.137,0.0,positive,App体验|用户隐私,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,1,Do not buy,Battery drains like crazy when using voice commands frequently. The accessories you need to buy on top make the real cost much higher.,battery drains like crazy using voice commands frequently accessories need buy top make real cost much higher,2024-02-08,True,0.2263,0.161,0.09,positive,电池续航|AI语音,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,"Finally, smart glasses done right","The charging case is genius, I get about 3 full charges from it. Easy to get prescription lenses fitted at my local optician.",charging case genius get full charges easy get prescription lenses fitted local optician,2025-03-12,True,0.2023,0.121,0.088,positive,电池续航|处方镜片|充电方式,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Very happy with these,All AI features work perfectly in the US. Better than I expected for the price. A great entry into smart glasses.,features work perfectly better expected price great entry smart glasses,2025-07-01,True,0.9313,0.481,0.0,positive,AI语音|性价比,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Very happy with these,Connects to my phone instantly every time I put them on.,connects phone instantly every time put,2025-12-22,False,0.0,0.0,0.0,neutral,,0
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,I feel in control of my data with the privacy settings available. The AI translation feature saved me during my trip to Spain.,feel control data privacy settings available translation feature saved trip spain,2024-02-08,False,0.4215,0.118,0.0,positive,AI语音|导航翻译|用户隐私,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,"The nose pads are soft and don't leave marks. Really well designed. Battery lasts all day for my normal use — calls, music, a few photos.",nose pads soft dont leave marks really well designed battery lasts day normal use calls music photos,2024-01-12,True,0.3697,0.139,0.0,positive,佩戴舒适|电池续航|音频质量|相机质量|发热问题|外观设计,6
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,1,Regret this purchase,Getting prescription lenses is a nightmare. Third party only and expensive. Voice recognition fails at least once every five commands.,getting prescription lenses nightmare third party expensive voice recognition fails least every five commands,2025-02-14,False,-0.0258,0.12,0.124,neutral,处方镜片|AI语音|性价比,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Impressed beyond belief,Got so many compliments on how they look. Very stylish.,got many compliments look stylish,2024-05-20,False,0.4549,0.249,0.0,positive,外观设计,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,"Finally, smart glasses done right","The charging case is genius, I get about 3 full charges from it.",charging case genius get full charges,2024-11-28,False,-0.2732,0.0,0.174,negative,电池续航|充电方式,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,"Almost perfect, a few nitpicks","Apple Music, Audible, and Spotify all work great.",apple music audible spotify work great,2025-03-29,True,0.6249,0.369,0.0,positive,音频质量|App体验|第三方应用,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,For 299 dollars this is a solid value considering all the features. The LED recording light gives people fair notice when I'm filming.,dollars solid value considering features led recording light gives people fair notice filming,2025-06-10,True,0.6486,0.249,0.0,positive,相机质量|AI语音|用户隐私|性价比,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Mixed feelings,"The wake word triggers accidentally all the time, super annoying. The LED recording light gives people fair notice when I'm filming. Worth every penny. Replaced my earbuds, regular sunglasses, and a pocket camera.",wake word triggers accidentally time super annoying led recording light gives people fair notice filming worth every penny replaced earbuds regular sunglasses pocket camera,2023-11-18,False,0.4588,0.201,0.127,positive,佩戴舒适|相机质量|AI语音|用户隐私|性价比,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,12MP camera takes surprisingly sharp photos in good lighting.,camera takes surprisingly sharp photos good lighting,2024-07-28,True,0.6249,0.421,0.0,positive,相机质量|发热问题,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,"Almost perfect, a few nitpicks",For 299 dollars this is a solid value considering all the features. These are the most comfortable smart glasses I've tried. Wore them for 6 hours straight. Love asking it to identify things I see. It's like Shazam for the real world.,dollars solid value considering features comfortable smart glasses ive tried wore hours straight love asking identify things see like shazam real world,2024-06-21,True,0.9529,0.375,0.0,positive,佩戴舒适|电池续航|AI语音|性价比,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Great but not perfect,I use them mostly for audio and they easily last 6+ hours.,use mostly audio easily last hours,2024-01-24,True,0.34,0.194,0.0,positive,电池续航|音频质量,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Good value for the price,"The prescription insert system works perfectly, no visual distortion. Response time is quick, usually answers within 2-3 seconds. Bluetooth 5.3 makes the connection noticeably more stable than older glasses.",prescription insert system works perfectly visual distortion response time quick usually answers within seconds bluetooth makes connection noticeably stable older glasses,2025-08-16,False,0.6697,0.192,0.063,positive,处方镜片|App体验|蓝牙稳定,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,Nobody at work even realized they were smart glasses until I told them. The ultra-wide angle captures more of the scene than I expected. The AI translation feature saved me during my trip to Spain.,nobody work even realized smart glasses told ultrawide angle captures scene expected translation feature saved trip spain,2024-04-30,True,0.6705,0.151,0.0,positive,相机质量|AI语音|导航翻译,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Solid product overall,"At only 43g these feel like regular sunglasses, not tech gadgets. All AI features work perfectly in the US.",feel like regular sunglasses tech gadgets features work perfectly,2025-02-01,True,0.7717,0.283,0.0,positive,AI语音,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,12MP camera takes surprisingly sharp photos in good lighting.,camera takes surprisingly sharp photos good lighting,2023-12-07,True,0.6249,0.421,0.0,positive,相机质量|发热问题,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,"Replaced my earbuds for walks and errands, the audio is that good.",replaced earbuds walks errands audio good,2025-11-26,False,0.4404,0.209,0.0,positive,佩戴舒适|音频质量,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,Love capturing POV moments without pulling out my phone. Love that software updates keep improving the experience months after purchase. I feel in control of my data with the privacy settings available.,love capturing pov moments without pulling phone love software updates keep improving experience months purchase feel control data privacy settings available,2024-04-02,True,0.9042,0.286,0.0,positive,AI语音|App体验|软件更新|用户隐私,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,"Almost perfect, a few nitpicks",The magnetic charging case is slick and doubles as a carrying case. All AI features work perfectly in the US.,magnetic charging case slick doubles carrying case features work perfectly,2025-09-29,False,0.6369,0.189,0.0,positive,电池续航|充电方式|AI语音,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,"Better battery life than I expected, easily gets through a workday. The LED recording light gives people fair notice when I'm filming.",better battery life expected easily gets workday led recording light gives people fair notice filming,2024-08-15,True,0.765,0.309,0.0,positive,电池续航|相机质量|AI语音|用户隐私,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Good value for the price,"Super lightweight, I forget I'm wearing them after a few minutes.",super lightweight forget wearing minutes,2025-04-24,True,0.4588,0.305,0.148,positive,佩戴舒适,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,My new favorite gadget,The nose pads are soft and don't leave marks. Really well designed. Meta AI is impressively smart. It identified a plant species from a photo.,nose pads soft dont leave marks really well designed meta impressively smart identified plant species photo,2025-03-14,False,0.8042,0.327,0.0,positive,佩戴舒适|相机质量|发热问题|外观设计|AI语音,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Mixed feelings,Audio quality is mediocre compared to even budget wireless earbuds. Rock solid Bluetooth connection. Never had a dropout.,audio quality mediocre compared even budget wireless earbuds rock solid bluetooth connection never dropout,2024-04-24,True,0.1531,0.091,0.0,positive,佩戴舒适|音频质量|蓝牙稳定,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,"Open-ear speakers sound surprisingly good for music and podcasts. Build quality feels premium. The hinges are solid and smooth. Battery lasts all day for my normal use — calls, music, a few photos.",openear speakers sound surprisingly good music podcasts build quality feels premium hinges solid smooth battery lasts day normal use calls music photos,2025-05-31,True,0.6908,0.193,0.0,positive,佩戴舒适|电池续航|音频质量|相机质量|做工耐用|发热问题|App体验,7
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,Perfect for documenting moments naturally without disrupting the experience. Love that software updates keep improving the experience months after purchase. The LED recording light gives people fair notice when I'm filming.,perfect documenting moments naturally without disrupting experience love software updates keep improving experience months purchase led recording light gives people fair notice filming,2025-09-01,True,0.9186,0.325,0.0,positive,相机质量|AI语音|App体验|软件更新|用户隐私,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,"Finally, smart glasses done right",Love capturing POV moments without pulling out my phone. I use them mostly for audio and they easily last 6+ hours.,love capturing pov moments without pulling phone use mostly audio easily last hours,2025-01-27,True,0.765,0.268,0.0,positive,电池续航|音频质量,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,All AI features work perfectly in the US. Dropped them once and not a scratch. Surprisingly durable. I feel in control of my data with the privacy settings available.,features work perfectly dropped scratch surprisingly durable feel control data privacy settings available,2025-03-18,True,0.5126,0.135,0.061,positive,做工耐用|AI语音|用户隐私,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,My new favorite gadget,"Appreciate the granular privacy controls in the app. All AI features work perfectly in the US. Fast charging is a lifesaver, 15 minutes gives me a few more hours.",appreciate granular privacy controls app features work perfectly fast charging lifesaver minutes gives hours,2025-04-25,True,0.8934,0.308,0.0,positive,电池续航|AI语音|App体验|用户隐私,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,"Good concept, needs work",Plug and play with my Samsung phone. Just works via USB-C. The frames are front-heavy and keep sliding down my nose. Battery drains like crazy when using voice commands frequently.,plug play samsung phone works via usbc frames frontheavy keep sliding nose battery drains like crazy using voice commands frequently,2024-07-13,True,0.3612,0.143,0.07,positive,佩戴舒适|电池续航|充电方式|AI语音|设备兼容,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Game changer for daily life,Open-ear speakers sound surprisingly good for music and podcasts.,openear speakers sound surprisingly good music podcasts,2024-07-21,True,0.6249,0.421,0.0,positive,佩戴舒适|音频质量,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,"Finally, smart glasses done right","Meta keeps adding new features through updates. The AI got way better. Video quality is solid for social media, not DSLR level but great for what it is.",meta keeps adding new features updates got way better video quality solid social media dslr level great,2025-03-17,True,0.836,0.263,0.0,positive,相机质量|AI语音|软件更新|社会接受度,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Impressed beyond belief,Easy to get prescription lenses fitted at my local optician.,easy get prescription lenses fitted local optician,2024-07-26,True,0.4404,0.244,0.0,positive,处方镜片,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Game changer for daily life,Better than I expected for the price. A great entry into smart glasses. Regular updates show the company is committed to the product.,better expected price great entry smart glasses regular updates show company committed product,2025-11-14,True,0.8957,0.41,0.0,positive,软件更新|性价比,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,Love that they charge automatically when I put them in the case.,love charge automatically put case,2024-02-08,True,0.6369,0.296,0.0,positive,电池续航,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Very happy with these,These pass the social acceptability test. I wear them everywhere.,pass social acceptability test wear everywhere,2023-11-22,False,0.2732,0.208,0.0,positive,佩戴舒适|社会接受度,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Great but not perfect,All AI features work perfectly in the US. The LED recording light gives people fair notice when I'm filming. The AI translation feature saved me during my trip to Spain.,features work perfectly led recording light gives people fair notice filming translation feature saved trip spain,2024-10-17,True,0.8519,0.256,0.0,positive,相机质量|AI语音|导航翻译|用户隐私,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Impressed beyond belief,"Call quality is excellent, people can't even tell I'm on glasses. Rock solid Bluetooth connection. Never had a dropout.",call quality excellent people cant even tell glasses rock solid bluetooth connection never dropout,2025-07-13,True,0.6486,0.249,0.0,positive,音频质量|蓝牙稳定,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,Meta keeps adding new features through updates. The AI got way better.,meta keeps adding new features updates got way better,2024-12-12,True,0.4404,0.209,0.0,positive,AI语音|软件更新,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Has potential but not there yet,Coworkers think I'm recording meetings. Creates trust issues. The app ecosystem is barren. Compare it to Apple Watch and it's embarrassing. Charging only through the case is annoying. Just give me USB-C.,coworkers think recording meetings creates trust issues app ecosystem barren compare apple watch embarrassing charging case annoying give usbc,2024-06-27,True,0.0258,0.14,0.137,neutral,电池续航|相机质量|充电方式|App体验|设备兼容|用户隐私|旁观者隐私|第三方应用|社会接受度,9
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,1,Not worth it at all,They look bulky compared to regular glasses. People stare. Got banned from wearing them at a restaurant. Manager cited camera policy. My friend got asked to leave a cafe because of the built-in camera.,look bulky compared regular glasses people stare got banned wearing restaurant manager cited camera policy friend got asked leave cafe builtin camera,2025-01-30,True,0.0,0.088,0.115,neutral,佩戴舒适|相机质量|外观设计|App体验|旁观者隐私|社会接受度,6
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,For 299 dollars this is a solid value considering all the features. Easy to get prescription lenses fitted at my local optician.,dollars solid value considering features easy get prescription lenses fitted local optician,2024-11-28,True,0.7096,0.277,0.0,positive,处方镜片|性价比,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,Has potential but not there yet,The app ecosystem is barren. Compare it to Apple Watch and it's embarrassing. Connection drops when I walk more than 15 feet from my phone.,app ecosystem barren compare apple watch embarrassing connection drops walk feet phone,2025-03-21,True,-0.3818,0.0,0.102,negative,App体验|蓝牙稳定|第三方应用,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,All AI features work perfectly in the US.,features work perfectly,2024-07-10,True,0.6369,0.375,0.0,positive,AI语音,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,The AI translation feature saved me during my trip to Spain.,translation feature saved trip spain,2025-06-18,True,0.4215,0.219,0.0,positive,AI语音|导航翻译,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,Bluetooth 5.3 makes the connection noticeably more stable than older glasses. Dropped them once and not a scratch. Surprisingly durable.,bluetooth makes connection noticeably stable older glasses dropped scratch surprisingly durable,2024-11-14,False,0.1543,0.117,0.088,positive,做工耐用|蓝牙稳定,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Very happy with these,"The LED recording light gives people fair notice when I'm filming. Worth every penny. Replaced my earbuds, regular sunglasses, and a pocket camera. Love the WhatsApp and Instagram integration.",led recording light gives people fair notice filming worth every penny replaced earbuds regular sunglasses pocket camera love whatsapp instagram integration,2025-04-20,True,0.8126,0.251,0.0,positive,佩戴舒适|相机质量|AI语音|App体验|用户隐私|性价比|第三方应用,7
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Worth every penny,The LED recording light gives people fair notice when I'm filming. Love that software updates keep improving the experience months after purchase.,led recording light gives people fair notice filming love software updates keep improving experience months purchase,2025-07-16,True,0.8519,0.329,0.0,positive,相机质量|AI语音|App体验|软件更新|用户隐私,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Impressed beyond belief,"Worth every penny. Replaced my earbuds, regular sunglasses, and a pocket camera. Dropped them once and not a scratch. Surprisingly durable. The magnetic charging case is slick and doubles as a carrying case.",worth every penny replaced earbuds regular sunglasses pocket camera dropped scratch surprisingly durable magnetic charging case slick doubles carrying case,2024-09-15,True,0.0031,0.06,0.059,neutral,佩戴舒适|电池续航|相机质量|做工耐用|充电方式|性价比,6
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,2,Too many issues,"The frames are front-heavy and keep sliding down my nose. The frames are way too thick, clearly not normal glasses.",frames frontheavy keep sliding nose frames way thick clearly normal glasses,2025-08-27,False,0.4019,0.124,0.0,positive,佩戴舒适,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,"Finally, smart glasses done right",The app makes it easy to manage photos and videos from the glasses. These are the most comfortable smart glasses I've tried. Wore them for 6 hours straight.,app makes easy manage photos videos glasses comfortable smart glasses ive tried wore hours straight,2024-12-05,True,0.8852,0.331,0.0,positive,佩戴舒适|电池续航|相机质量|发热问题|AI语音|App体验,6
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,1,Save your money,"Proprietary charging case means if you lose it, your glasses are useless. The speakers struggle in windy conditions, can barely hear anything. It takes forever to respond sometimes, 5-10 seconds of dead silence.",proprietary charging case means lose glasses useless speakers struggle windy conditions barely hear anything takes forever respond sometimes seconds dead silence,2025-08-17,True,-0.9022,0.0,0.294,negative,佩戴舒适|电池续航|音频质量|充电方式,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Exceeded my expectations,All AI features work perfectly in the US.,features work perfectly,2025-03-23,True,0.6369,0.375,0.0,positive,AI语音,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,2,Returning these,AI features feel gimmicky. I stopped using them after the first week.,features feel gimmicky stopped using first week,2024-01-11,True,-0.2263,0.0,0.16,negative,AI语音,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,Bluetooth 5.3 makes the connection noticeably more stable than older glasses. These pass the social acceptability test. I wear them everywhere.,bluetooth makes connection noticeably stable older glasses pass social acceptability test wear everywhere,2025-11-24,True,0.5563,0.203,0.0,positive,佩戴舒适|蓝牙稳定|社会接受度,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,The LED recording light gives people fair notice when I'm filming. Love capturing POV moments without pulling out my phone.,led recording light gives people fair notice filming love capturing pov moments without pulling phone,2023-12-03,True,0.7579,0.265,0.0,positive,相机质量|AI语音|用户隐私,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Great but not perfect,"At only 74g these feel like regular sunglasses, not tech gadgets.",feel like regular sunglasses tech gadgets,2025-01-25,True,0.3612,0.2,0.0,positive,,0
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Impressed beyond belief,Bluetooth 5.3 makes the connection noticeably more stable than older glasses. Got so many compliments on how they look. Very stylish. Five microphones make a huge difference in noisy environments.,bluetooth makes connection noticeably stable older glasses got many compliments look stylish five microphones make huge difference noisy environments,2024-06-22,True,0.7245,0.225,0.049,positive,音频质量|外观设计|蓝牙稳定,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,3,"Good concept, needs work",Meta AI is impressively smart. It identified a plant species from a photo. The glasses interfere with my smartwatch Bluetooth connection.,meta impressively smart identified plant species photo glasses interfere smartwatch bluetooth connection,2025-09-28,True,0.6908,0.251,0.0,positive,相机质量|发热问题|AI语音|蓝牙稳定,4
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,My new favorite gadget,Nobody at work even realized they were smart glasses until I told them. I feel in control of my data with the privacy settings available.,nobody work even realized smart glasses told feel control data privacy settings available,2024-03-01,False,0.4019,0.109,0.0,positive,AI语音|用户隐私,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Impressed beyond belief,Finally smart glasses that don't make you look like a cyborg. Perfect for documenting moments naturally without disrupting the experience.,finally smart glasses dont make look like cyborg perfect documenting moments naturally without disrupting experience,2025-04-30,True,0.836,0.357,0.0,positive,外观设计,1
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Good value for the price,These are the most comfortable smart glasses I've tried. Wore them for 6 hours straight. I use them mostly for audio and they easily last 6+ hours. The directional audio means people around me can't hear what I'm playing.,comfortable smart glasses ive tried wore hours straight use mostly audio easily last hours directional audio means people around cant hear playing,2024-07-26,True,0.8927,0.284,0.0,positive,佩戴舒适|电池续航|音频质量|AI语音|导航翻译,5
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,My new favorite gadget,"The design is sleek enough to wear daily without feeling awkward. The charging case is genius, I get about 3 full charges from it.",design sleek enough wear daily without feeling awkward charging case genius get full charges,2024-01-04,True,-0.2561,0.06,0.145,negative,佩戴舒适|电池续航|充电方式|外观设计|AI语音|社会接受度,6
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Best tech purchase this year,"Call quality is excellent, people can't even tell I'm on glasses. Finally smart glasses that don't make you look like a cyborg.",call quality excellent people cant even tell glasses finally smart glasses dont make look like cyborg,2024-03-06,True,0.836,0.331,0.0,positive,音频质量|外观设计,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Really good with minor issues,All AI features work perfectly in the US. These are the most comfortable smart glasses I've tried. Wore them for 6 hours straight.,features work perfectly comfortable smart glasses ive tried wore hours straight,2023-12-21,True,0.9131,0.413,0.0,positive,佩戴舒适|电池续航|AI语音,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,4,Great but not perfect,"The AI translation feature saved me during my trip to Spain. Considering what you get, the price is actually reasonable.",translation feature saved trip spain considering get price actually reasonable,2024-05-15,False,0.4215,0.128,0.0,positive,AI语音|导航翻译|性价比,3
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Love these glasses!,I use them mostly for audio and they easily last 6+ hours.,use mostly audio easily last hours,2025-12-08,True,0.34,0.194,0.0,positive,电池续航|音频质量,2
Meta Ray-Ban Wayfarer,Meta,audio_camera,299,5,Worth every penny,Setting up the glasses through the app took less than 5 minutes.,setting glasses app took less minutes,2024-08-17,True,0.0,0.0,0.0,neutral,App体验,1
